date,gold,fx,cpi,oil,set,btc,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change,btc_lag1,btc_lag3,btc_roll7_mean,btc_pct_change
2025-03-13,47000.0,34.2692,100.57,3.5557006802721087,1159.6400146484375,81066.703125,47650.0,46700.0,46550.0,46592.857142857145,0.0064239828693790635,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1160.06005859375,1177.43994140625,1183.3300083705358,-0.0003620881024226641,83722.359375,78532.0,84787.31919642857,-0.0317197970748182
2025-03-14,47650.0,34.2692,100.57,3.5557006802721087,1173.760009765625,83969.1015625,47650.0,47000.0,46550.0,46757.142857142855,0.01382978723404249,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1159.6400146484375,1187.6300048828125,1178.587158203125,0.012176188247064124,81066.703125,82862.2109375,83836.68191964286,0.03580259620308812
2025-03-17,47650.0,34.2692,100.57,3.5557006802721087,1170.199951171875,84075.6875,48000.0,47650.0,46700.0,46942.857142857145,0.0,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1173.760009765625,1160.06005859375,1175.8228585379463,-0.0030330378988298046,83969.1015625,83722.359375,82995.81919642857,0.001269347123127984
2025-03-18,48000.0,34.2692,100.57,3.5557006802721087,1176.1700439453125,82718.5,48250.0,47650.0,47000.0,47157.142857142855,0.007345225603357708,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1170.199951171875,1159.6400146484375,1172.1285749162946,0.00510177151132063,84075.6875,81066.703125,82420.9375,-0.016142449028442418
2025-03-19,48250.0,34.2692,100.57,3.5557006802721087,1189.6600341796875,86854.2265625,48450.0,48000.0,47650.0,47400.0,0.005208333333333259,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1176.1700439453125,1173.760009765625,1173.874302455357,0.011469421708041994,82718.5,83969.1015625,83609.82700892857,0.049997601050550955
2025-03-20,48450.0,34.2692,100.57,3.5557006802721087,1181.7099609375,84167.1953125,48600.0,48250.0,47650.0,47671.42857142857,0.004145077720207224,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1189.6600341796875,1170.199951171875,1173.0285818917412,-0.006682642951580164,86854.2265625,84075.6875,83796.25334821429,-0.030937253791171848
2025-03-21,48600.0,34.2692,100.57,3.5557006802721087,1186.6099853515625,84043.2421875,48550.0,48450.0,48000.0,47942.857142857145,0.003095975232198178,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1181.7099609375,1176.1700439453125,1176.8214285714287,0.004146554210455511,84167.1953125,82718.5,83842.09375,-0.0014727011460912154
2025-03-24,48550.0,34.2692,100.57,3.5557006802721087,1190.06005859375,87498.9140625,48500.0,48600.0,48250.0,48164.28571428572,-0.0010288065843621075,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1186.6099853515625,1189.6600341796875,1181.1671491350446,0.002907503969103553,84043.2421875,86854.2265625,84760.98102678571,0.04111778395329413
2025-03-25,48500.0,34.2692,100.57,3.5557006802721087,1184.9300537109375,87471.703125,48550.0,48550.0,48450.0,48285.71428571428,-0.001029866117404743,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1190.06005859375,1181.7099609375,1182.7628696986608,-0.004310710913930205,87498.9140625,84167.1953125,85261.35267857143,-0.0003109860024155253
2025-03-26,48550.0,34.2692,100.57,3.5557006802721087,1190.3599853515625,86900.8828125,48750.0,48500.0,48600.0,48414.28571428572,0.0010309278350515427,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1184.9300537109375,1186.6099853515625,1185.6428745814733,0.00458249128175936,87471.703125,84043.2421875,85664.95200892857,-0.00652577110204744
2025-03-27,48750.0,34.2692,100.57,3.5557006802721087,1187.9000244140625,87177.1015625,49450.0,48550.0,48550.0,48521.42857142857,0.004119464469618972,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1190.3599853515625,1190.06005859375,1187.3185860770088,-0.0020665689100540785,86900.8828125,87498.9140625,86301.89508928571,0.003178549412391707
2025-03-28,49450.0,34.2692,100.57,3.5557006802721087,1175.449951171875,84353.1484375,50050.0,48750.0,48500.0,48692.857142857145,0.014358974358974264,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1187.9000244140625,1184.9300537109375,1185.28857421875,-0.010480741633395074,87177.1015625,87471.703125,85944.59821428571,-0.032393289916566204
2025-03-31,50050.0,34.2692,100.57,3.5557006802721087,1158.0899658203125,82548.9140625,50600.0,49450.0,48550.0,48921.42857142857,0.01213346814964611,34.2692,34.2692,34.2692,0.0,100.57,100.57,100.57,0.0,3.5557006802721087,3.5557006802721087,3.5557006802721087,0.0,1175.449951171875,1190.3599853515625,1181.9142892020088,-0.014768800095874224,84353.1484375,86900.8828125,85713.41517857143,-0.02138905788841794
2025-04-01,50600.0,33.7522,100.14,3.665642857142857,1168.02001953125,85169.171875,50600.0,50050.0,48750.0,49207.142857142855,0.01098901098901095,34.2692,34.2692,34.195342857142855,-0.015086433298705404,100.57,100.57,100.50857142857144,-0.004275628915183405,3.5557006802721087,3.5557006802721087,3.5714067055393586,0.030919975205093708,1158.0899658203125,1187.9000244140625,1179.258579799107,0.008574509756591908,82548.9140625,87177.1015625,85874.26227678571,0.0317418810684309
2025-04-02,50600.0,33.7522,100.14,3.665642857142857,1172.68994140625,82485.7109375,50650.0,50600.0,49450.0,49500.0,0.0,33.7522,34.2692,34.12148571428571,0.0,100.14,100.57,100.44714285714285,0.0,3.665642857142857,3.5557006802721087,3.5871127308066084,0.0,1168.02001953125,1175.449951171875,1176.777134486607,0.003998152255022314,85169.171875,84353.1484375,85158.09040178571,-0.031507420800550134
2025-04-03,50650.0,33.7522,100.14,3.665642857142857,1161.81005859375,83102.828125,50200.0,50600.0,50050.0,49807.142857142855,0.000988142292490224,33.7522,34.2692,34.04762857142857,0.0,100.14,100.57,100.38571428571427,0.0,3.665642857142857,3.5557006802721087,3.6028187560738583,0.0,1172.68994140625,1158.0899658203125,1173.4742780412946,-0.009277714789173719,82485.7109375,82548.9140625,84533.96540178571,0.007481504135517403
2025-04-04,50200.0,33.7522,100.14,3.665642857142857,1125.2099609375,83843.8046875,49750.0,50650.0,50600.0,50042.857142857145,-0.008884501480750262,33.7522,33.7522,33.973771428571425,0.0,100.14,100.14,100.32428571428571,0.0,3.665642857142857,3.665642857142857,3.6185247813411077,0.0,1161.81005859375,1168.02001953125,1164.1671316964287,-0.031502651733408604,83102.828125,85169.171875,84097.23995535714,0.008916382019940938
