date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change
2024-07-02,39719.2,36.3001,100.86,3.93274149659864,1288.5799560546875,39961.76,39673.72,39522.12,39636.90285714286,0.001146350783339578,36.3001,36.6324,36.53745714285714,0.0,100.86,100.98,100.94571428571429,0.0,3.93274149659864,4.0786428571428575,4.036956754130224,0.0,1299.3499755859375,1309.4599609375,1307.624267578125,-0.008288774951793365
2024-07-03,39961.76,36.3001,100.86,3.93274149659864,1294.699951171875,40022.4,39719.2,39673.72,39684.548571428575,0.006106870229007688,36.3001,36.6324,36.489985714285716,0.0,100.86,100.98,100.92857142857143,0.0,3.93274149659864,4.0786428571428575,4.016113702623906,0.0,1288.5799560546875,1300.9599609375,1304.4771205357142,0.004749410456395209
2024-07-04,40022.4,36.3001,100.86,3.93274149659864,1301.0400390625,40067.88,39961.76,39673.72,39734.36,0.0015174506828528056,36.3001,36.3001,36.44251428571429,0.0,100.86,100.86,100.91142857142857,0.0,3.93274149659864,3.93274149659864,3.99527065111759,0.0,1294.699951171875,1299.3499755859375,1301.8914097377233,0.004896955379419365
2024-07-05,40067.88,36.3001,100.86,3.93274149659864,1311.989990234375,40067.88,40022.4,39719.2,39805.82857142857,0.001136363636363491,36.3001,36.3001,36.395042857142855,0.0,100.86,100.86,100.89428571428572,0.0,3.93274149659864,3.93274149659864,3.974427599611274,0.0,1301.0400390625,1288.5799560546875,1300.8685477120537,0.008416306065234691
2024-07-08,40067.88,36.3001,100.86,3.93274149659864,1322.5,39916.28,40067.88,39961.76,39883.794285714284,0.0,36.3001,36.3001,36.34757142857143,0.0,100.86,100.86,100.87714285714286,0.0,3.93274149659864,3.93274149659864,3.9535845481049567,0.0,1311.989990234375,1294.699951171875,1302.731410435268,0.008010739292109603
2024-07-09,39916.28,36.3001,100.86,3.93274149659864,1319.9200439453125,40022.4,40067.88,40022.4,39918.44571428571,-0.003783579265985604,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1322.5,1301.0400390625,1305.4399937220983,-0.0019508174326559047
2024-07-10,40022.4,36.3001,100.86,3.93274149659864,1323.280029296875,40067.88,39916.28,40067.88,39968.25714285714,0.002658564375237482,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1319.9200439453125,1311.989990234375,1308.8585728236608,0.0025455976420505344
2024-07-11,40067.88,36.3001,100.86,3.93274149659864,1329.3699951171875,40264.96,40022.4,40067.88,40018.06857142857,0.001136363636363491,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1323.280029296875,1322.5,1314.6857212611608,0.004602174661056724
2024-07-12,40264.96,36.3001,100.86,3.93274149659864,1332.0400390625,40462.04,40067.88,39916.28,40061.38285714285,0.004918653045781429,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1329.3699951171875,1319.9200439453125,1320.02001953125,0.002008503242227233
2024-07-15,40462.04,36.3001,100.86,3.93274149659864,1327.4300537109375,40795.56,40264.96,40022.4,40124.18857142857,0.004894578313253017,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1332.0400390625,1323.280029296875,1323.7900216238838,-0.0034608459328347996
2024-07-16,40795.56,36.3001,100.86,3.93274149659864,1321.31005859375,41144.24,40462.04,40067.88,40228.142857142855,0.008242787560884146,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1327.4300537109375,1329.3699951171875,1325.1214599609375,-0.004610408736851035
2024-07-17,41144.24,36.3001,100.86,3.93274149659864,1319.7900390625,41098.76,40795.56,40264.96,40381.90857142857,0.008547008547008517,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1321.31005859375,1332.0400390625,1324.7343226841517,-0.0011503882236905127
2024-07-18,41098.76,36.3001,100.86,3.93274149659864,1324.760009765625,40659.12,41144.24,40462.04,40550.83428571428,-0.001105379513632876,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1319.7900390625,1327.4300537109375,1325.425746372768,0.00376572830224986
2024-07-19,40659.12,36.3001,100.86,3.93274149659864,1317.1400146484375,40462.04,41098.76,40795.56,40641.794285714284,-0.010697159719660676,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1324.760009765625,1321.31005859375,1324.5486014229912,-0.005751981537045037
2024-07-22,40462.04,36.3001,100.86,3.93274149659864,1317.1400146484375,40462.04,40659.12,41144.24,40698.102857142854,-0.004847129008202833,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1317.1400146484375,1319.7900390625,1322.8014613560267,0.0
