date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7,gold_pct,fx_lag1,fx_lag3,fx_roll7,fx_pct,cpi_lag1,cpi_lag3,cpi_roll7,cpi_pct,oil_lag1,oil_lag3,oil_roll7,oil_pct,set_lag1,set_lag3,set_roll7,set_pct
2024-07-19,65764.08,36.3001,100.86,3.93274149659864,1317.1400146484375,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1324.760009765625,1321.31005859375,1324.5486014229912,-0.005751981537045037
2024-07-22,65764.08,36.3001,100.86,3.93274149659864,1317.1400146484375,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1317.1400146484375,1319.7900390625,1322.8014613560267,0.0
2024-07-23,65764.08,36.3001,100.86,3.93274149659864,1301.5400390625,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1317.1400146484375,1324.760009765625,1318.4443184988838,-0.011843824811670678
2024-07-24,65764.08,36.3001,100.86,3.93274149659864,1298.0799560546875,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1301.5400390625,1317.1400146484375,1314.2514474051338,-0.0026584529895098408
2024-07-25,65764.08,36.3001,100.86,3.93274149659864,1291.5799560546875,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1298.0799560546875,1317.1400146484375,1310.0042898995537,-0.005007395707546158
2024-07-26,65764.08,36.3001,100.86,3.93274149659864,1307.2099609375,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1291.5799560546875,1301.5400390625,1308.2071358816963,0.012101461322268081
2024-07-29,65764.08,36.3001,100.86,3.93274149659864,1307.2099609375,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1307.2099609375,1298.0799560546875,1305.699986049107,0.0
2024-07-30,65764.08,36.3001,100.86,3.93274149659864,1308.0899658203125,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1307.2099609375,1291.5799560546875,1304.4071219308037,0.0006731932199945945
2024-07-31,65764.08,36.3001,100.86,3.93274149659864,1320.8599853515625,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1308.0899658203125,1307.2099609375,1304.9385463169642,0.009762340408476344
2024-08-01,65764.08,34.7568,100.94,3.851561224489796,1322.75,65764.08,65764.08,65764.08,65764.08,0.0,36.3001,36.3001,36.07962857142857,-0.04251503439384474,100.86,100.86,100.87142857142858,0.000793178663494043,3.93274149659864,3.93274149659864,3.921144314868805,-0.020642158193986404,1320.8599853515625,1307.2099609375,1307.968540736607,0.0014308970438940971
