datetime,gold_buy,gold_sell,gold_bar_buy,gold_bar_sell,timestamp,source_url,date,update_time
2025-10-17 16:25:00,68000.0,65764.08,67200.0,67100.0,2025-11-17 23:25:45,https://example.com,17/10/2568,16:25
2025-11-14 16:32:00,64750.0,62580.48,63950.0,63850.0,2025-11-14 19:24:55,,,
,62900.0,60761.28,62100.0,62000.0,2025-11-19 01:12:32,https://api.chnwt.dev/thai-gold-api/latest,18/11/2568,17:10
