date,update_time,gold_buy,gold_sell,gold_bar_buy,gold_bar_sell,change_prev,change_yesterday,timestamp
21 พฤศจิกายน 2568,เวลา 17:15 น.,"63,000.00","60,852.24","62,200.00","62,100.00",+,+,2025-11-22 00:54:17
24 พฤศจิกายน 2568,เวลา 17:00 น.,"63,400.00","61,246.40","62,600.00","62,500.00",+50,+150,2025-11-24 21:07:38
26 พฤศจิกายน 2568,เวลา 15:44 น.,"64,250.00","62,080.20","63,450.00","63,350.00",+,+250,2025-11-26 18:12:46
26 พฤศจิกายน 2568,เวลา 15:44 น.,"64,250.00","62,080.20","63,450.00","63,350.00",+,+250,2025-11-26 18:16:25
26 พฤศจิกายน 2568,เวลา 15:44 น.,"64,250.00","62,080.20","63,450.00","63,350.00",+,+250,2025-11-26 20:55:29
