Date,CPI_Index,mid_rate,buying_sight,selling,Petroleum_Price_USD_per_Gal,gold_buy,gold_sell,gold_bar_buy,gold_bar_sell,gold_bar_sell_hist,Bitcoin_Price_Close,SET_Index_Close,CPI_Index_MoM_Change,mid_rate_MoM_Change,gold_bar_sell_MoM_Change,gold_bar_sell_hist_MoM_Change,Petroleum_Price_USD_per_Gal_MoM_Change,SET_Index_Close_MoM_Change,Bitcoin_Price_Close_MoM_Change,CPI_Index_Lag_1M,CPI_Index_Lag_3M,Petroleum_Price_USD_per_Gal_Lag_1M,Petroleum_Price_USD_per_Gal_Lag_3M,Bitcoin_Price_Close_Lag_1M,Bitcoin_Price_Close_Lag_3M,mid_rate_RollMean_3M,mid_rate_RollStd_3M,SET_Index_Close_RollMean_3M,SET_Index_Close_RollStd_3M,gold_bar_sell_hist_RollMean_3M,gold_bar_sell_hist_RollStd_3M,Bitcoin_Price_Close_RollMean_3M,Bitcoin_Price_Close_RollStd_3M,Month_Num
2018-01-31,,,,,,,,,,,10221.099609375,,,,,,,,,,,,,,,,,,,,,,,1
2018-02-28,,,,,,,,,,,10397.900390625,,,,,,,,1.7297628240295682,,,,,10221.099609375,,,,,,,,,,2
2018-03-31,,,,,,,,,,,6973.52978515625,,,,,,,,-32.93328919130871,,,,,10397.900390625,,,,,,,,9197.509928385416,1928.0509296102293,3
2018-04-30,,,,,,,,,,,9240.5498046875,,,,,,,,32.50893147910252,,,,,6973.52978515625,10221.099609375,,,,,,,8870.659993489584,1741.8933277387064,4
2018-05-31,,,,,,,,,,,7494.169921875,,,,,,,,-18.89909063556592,,,,,9240.5498046875,10397.900390625,,,,,,,7902.749837239583,1187.4544634083297,5
2018-06-30,,,,,,,,,,,6404.0,,,,,,,,-14.546906905498158,,,,,7494.169921875,6973.52978515625,,,,,,,7712.906575520833,1430.8696626018407,6
2018-07-31,,,,,,,,,,,7780.43994140625,,,,,,,,21.49344068404513,,,,,6404.0,9240.5498046875,,,,,,,7226.203287760417,726.2928581664788,7
2018-08-31,,,,,,,,,,,7037.580078125,,,,,,,,-9.547787385747553,,,,,7780.43994140625,7494.169921875,,,,,,,7074.006673177083,688.9425960810706,8
2018-09-30,,,,,,,,,,,6625.56005859375,,,,,,,,-5.8545695389234265,,,,,7037.580078125,6404.0,,,,,,,7147.860026041667,585.2846624640264,9
2018-10-31,,,,,,,,,,,6317.60986328125,,,,,,,,-4.647911913696568,,,,,6625.56005859375,7780.43994140625,,,,,,,6660.25,361.2365175222664,10
2018-11-30,,,,,,,,,,,4017.2685546875,,,,,,,,-36.41157587086258,,,,,6317.60986328125,7037.580078125,,,,,,,5653.4794921875,1425.3413642683013,11
2018-12-31,,,,,,,,,,,3742.700439453125,,,,,,,,-6.834696548081121,,,,,4017.2685546875,6625.56005859375,,,,,,,4692.526285807292,1414.0436300933247,12
2019-01-31,,,,,,,,,,,3457.792724609375,,,,,,,,-7.612356891843053,,,,,3742.700439453125,6317.60986328125,,,,,,,3739.25390625,279.75383831815793,1
2019-02-28,,,,,,,,,,,3854.785400390625,,,,,,,,11.481101020191954,,,,,3457.792724609375,4017.2685546875,,,,,,,3685.0928548177085,204.66990866181177,2
2019-03-31,,,,,,,,,,,4105.404296875,,,,,,,,6.501500614248945,,,,,3854.785400390625,3742.700439453125,,,,,,,3805.994140625,326.5511099433383,3
2019-04-30,,,,,,,,,,,5350.7265625,,,,,,,,30.33373026312973,,,,,4105.404296875,3457.792724609375,,,,,,,4436.972086588542,801.1946639268939,4
