,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,385.0956572833129,370837.1665624517,608.9640108926403,0.9804305272932604,0.687481347961707,164.61852531777714,42.38620072185327
linear,396.64613624472133,392949.0590201144,626.8564899720784,0.9792636591501459,0.7073868746369952,171.96910676073475,44.63351962015559
lasso,411.498097278437,385040.8660677551,620.5166122415701,0.9796809829248241,0.739552008701579,172.13292310812852,48.62963972165328
rf,3948.17085911851,35205120.774957076,5933.390327203923,-0.8578117628535211,6.737933819582078,1058.2061106539372,565.5102456796651
gbm,4228.55014581755,38318259.56023719,6190.17443697972,-1.0220954161225952,7.247181294870838,1081.7295925514252,611.0328359501477
