,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,368.69479349496373,328847.1491463985,573.4519588826936,0.9850251891622304,0.6680665000393372,167.42862518597326,46.81380018331245
linear,372.79184495740486,332024.26321534184,576.2154659633337,0.9848805119700579,0.6781199595284038,174.98180661517637,48.45689944380084
lasso,414.61634529019034,366618.16863566655,605.4900235641101,0.98330519896779,0.7572561289566458,174.66304105523494,52.01909952837166
gbm,3234.912504246474,21378585.635327157,4623.6982638713735,0.026476961411758926,5.621849634818759,1103.6072238121224,749.8340294932302
rf,3287.5963994828758,25296600.374890517,5029.5725837182745,-0.15193884586177342,5.629162982180101,1071.237771459241,668.9479396789736
xgb,3294.2054489583334,27990603.450504467,5290.614657155109,-0.2746164684545378,5.584227469781827,969.1703100194766,835.0665864803923
lgb,4238.191055647677,41241789.19736351,6421.977047402421,-0.8780396711505187,7.249808295133063,1123.7517299375456,868.6799525881295
