,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
linear,26.782666666666675,107596.68506666675,328.01933642190477,-0.006711409395973034,0.04337507160978805,1.5522042910257974e-12,3.104408582051595e-12
ridge,26.782666666666675,107596.68506666675,328.01933642190477,-0.006711409395973034,0.04337507160978805,1.4551915228366852e-11,0.0
lasso,26.782666666666675,107596.68506666675,328.01933642190477,-0.006711409395973034,0.04337507160978805,1.4551915228366852e-11,0.0
gbm,26.782666666666675,107596.68506666675,328.01933642190477,-0.006711409395973034,0.04337507160978805,1.4551915228366852e-11,0.0
rf,26.782666666834896,107596.68506665583,328.0193364218881,-0.006711409395871115,0.04337507161004371,1.2283732251105022e-11,6.1889847173080075e-12
