,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,371.10295443038746,336357.43611094466,579.9633058314506,0.9843510536354934,0.659661099642001,170.50808050090959,47.544637601910765
linear,375.8986512407643,339820.6989659674,582.9414198407653,0.9841899261893722,0.670718917710422,178.36388759341185,49.20617646754204
lasso,415.768776200535,374191.5036058411,611.7119449592602,0.9825908330207083,0.7452716275247618,178.04673006346343,52.78739555194423
gbm,3179.767316661554,20620714.451782525,4541.003683304223,0.040626370016349056,5.428521479248743,1138.48877824084,754.2438183065698
rf,3266.867387061094,24677900.839849886,4967.685662343169,-0.14813322130343543,5.503927812104607,1111.284801083743,671.5239166491863
lstm,5007.41587124699,32473760.989312433,5698.575347340108,,8.841744470850042,,
