,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,371.1030122979807,336357.4960169839,579.9633574778529,0.9843510508063937,0.6596611945849274,170.50808050091157,47.544637601909045
linear,375.8987108824791,339820.75663110893,582.9414693012575,0.9841899234640974,0.6707190154926651,178.36388759342884,49.206176467662026
lasso,415.7688096397243,374191.5544037169,611.7119864803344,0.982590830610641,0.7452716825066796,178.04673006346414,52.787395551943376
gbm,3179.767310967416,20620714.384592038,4541.003675906026,0.040626370568377035,5.428521470674684,1138.48877824084,754.2438183065698
rf,3266.867381366957,24677900.75984513,4967.685654290651,-0.14813322066166745,5.503927803708416,1111.2848010837438,671.5239166491873
