,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,261.8348106298742,148789.8344266809,385.7328537040641,0.981922712323329,0.4966567480912508,179.08280024532155,59.52300957538563
linear,264.2260887319471,152552.3479175219,390.57950268482074,0.9814655840589998,0.5014511722413492,183.21191410578973,58.54628426414749
lasso,311.99932963558695,171826.0256346771,414.51902927932883,0.9791239199391156,0.5895401160685807,185.76403344365568,66.70451950672503
gbm,3284.4126061008897,19326034.18053022,4396.138553381845,-1.348025191887542,5.88744060070231,1135.7577587485089,673.8936765046246
rf,3337.733963193769,19762710.545547612,4445.527026748078,-1.4010793827362606,5.986153714941365,1078.7352854950173,600.258246793161
