,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
linear,310.40199904109585,173432.2061993268,416.4519254359701,0.9786299092459461,0.5858583666483063,180.8216841004365,59.57195848736389
ridge,311.7665190139529,170846.0101772946,413.3352273606674,0.9789485769542671,0.5879361851018919,176.82611224300814,61.59971067415041
lasso,359.9259879400738,201269.40019239718,448.63058321117296,0.9751998464277033,0.6779738231781897,182.3421191841678,69.31808207259546
rf,3290.5966634857077,19374648.31852644,4401.664266902513,-1.3873189528531564,5.904373224154701,1068.0024390455746,531.6321855808995
gbm,3400.3847080702976,20128114.27900418,4486.436701771706,-1.480160047989743,6.110869896955451,1040.8498147558898,560.1261266651067
lstm,6332.783031017602,46787889.95643425,6840.167392427926,,11.651763561116603,,
