,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
linear,310.4019990391671,173432.20619862573,416.4519254351284,0.9786299092460324,0.5858583666449161,180.8216840999807,59.57195848754631
ridge,311.76651901407143,170846.01017736614,413.33522736075395,0.9789485769542582,0.5879361851021132,176.82611224301962,61.59971067415766
lasso,359.9259879400746,201269.40019239832,448.6305832111742,0.9751998464277031,0.6779738231781912,182.342119184167,69.3180820725947
rf,3290.5966634856995,19374648.31852639,4401.664266902508,-1.3873189528531507,5.904373224154687,1068.0024390455746,531.6321855808994
gbm,3400.3847080702976,20128114.27900418,4486.436701771706,-1.480160047989743,6.110869896955451,1040.8498147558898,560.1261266651067
xgb,3621.1000580658783,22010084.608527005,4691.490659537436,-1.712053982915053,6.520748911053572,903.4217853933526,585.9481042255333
lgb,3749.523912957062,23659692.77932786,4864.123022635001,-1.9153165550242237,6.7525831926763935,1029.1800971169318,630.0127482548592
