,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
linear,0.0,0.0,0.0,1.0,0.0,3.589472422997157e-12,3.2553530250758474e-12
ridge,0.0,0.0,0.0,1.0,0.0,1.6007106751203538e-11,2.91038304567337e-12
lasso,0.0,0.0,0.0,1.0,0.0,1.6007106751203538e-11,2.91038304567337e-12
gbm,0.0,0.0,0.0,1.0,0.0,1.6007106751203538e-11,2.91038304567337e-12
rf,2.4364756730695564e-10,6.023145408806923e-20,2.454209732033292e-10,-283.435,3.9459217452170006e-13,2.5397677761072123e-10,1.2439387971254828e-11
xgb,0.0003125000002910383,9.765625018189891e-08,0.00031250000029103825,-461168602701731.1,5.061000855285472e-07,0.0003125000002910383,0.0
lgb,0.0003125000002910383,9.765625018189891e-08,0.00031250000029103825,-461168602701731.1,5.061000855285472e-07,0.0003125000002910383,0.0
