,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,368.69479349496373,328847.1491463985,573.4519588826936,0.9850251891622304,0.6680665000393372,167.42862518597326,46.81380018331245
linear,372.79184495740486,332024.26321534184,576.2154659633337,0.9848805119700579,0.6781199595284038,174.98180661517637,48.45689944380084
lasso,414.61634529019034,366618.16863566655,605.4900235641101,0.98330519896779,0.7572561289566458,174.66304105523494,52.01909952837166
gbm,3234.912504246474,21378585.635327157,4623.6982638713735,0.026476961411758926,5.621849634818759,1103.6072238121224,749.8340294932302
rf,3287.596399482872,25296600.37489055,5029.572583718277,-0.15193884586177497,5.629162982180092,1071.2377714592399,668.9479396789754
