,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,368.6947934949798,328847.14914643636,573.4519588827266,0.9850251891622287,0.668066500039358,167.42862518598113,46.81380018330877
linear,372.7918449571679,332024.2632151159,576.2154659631377,0.9848805119700682,0.678119959527941,174.98180661521246,48.45689944383729
lasso,414.6163452901913,366618.16863566695,605.4900235641104,0.98330519896779,0.7572561289566473,174.6630410552348,52.01909952837171
lstm,2497.7934968769177,11243963.540316924,3353.201983226916,,4.365581961158115,,
gbm,3234.912504246474,21378585.635327157,4623.6982638713735,0.026476961411758926,5.621849634818759,1103.6072238121224,749.8340294932302
rf,3287.5963994828753,25296600.37489064,5029.572583718286,-0.1519388458617792,5.6291629821800955,1071.2377714592403,668.9479396789744
