,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
linear,282.25710280408447,229914.5021583258,479.4940063841526,0.9895155438465865,0.5119422438210649,133.98929107452955,36.54926873846213
ridge,283.0100606391039,229702.23226386643,479.2726074624612,0.9895252236813957,0.5126716593376321,129.66439168768497,36.524800466529456
lasso,309.8822066531841,256631.9905348567,506.58858113350396,0.9882971851402698,0.5657764022098787,135.91281686959,41.172509265893694
rf,3103.1245956469816,24043879.14542785,4903.455837001884,-0.0964379988723707,5.283371488268641,1108.013241328,608.092432670239
gbm,3142.2403346585183,23959589.63853802,4894.853382741716,-0.09259426726395437,5.36613004828336,1029.0864897119882,683.5018765213633
