,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,53.705676013766606,41945.06486825696,204.8049434663552,0.99369390662553,0.09920599934732043,19.765793529461114,4.714306129498675
linear,54.389488136960736,42427.08808393693,205.97836799998424,0.9936214384241746,0.10038878450859573,19.884824319979586,4.681129383947498
lasso,76.2284987935643,66254.69049366924,257.3998649837821,0.9900391555940619,0.1419886831311698,28.366708019837,8.809761043540417
rf,4824.769045054042,30262353.727142025,5501.122951465639,-3.549694438046246,9.34431674950784,796.3891030263128,762.6350873677005
gbm,4988.828377504023,32149434.412153624,5670.047126096363,-3.833401401957695,9.665263105053471,876.3667925637543,831.0925261850822
