,MAE,MSE,RMSE,R2,MAPE,CV_MAE,CV_STD
ridge,261.8348106298742,148789.8344266809,385.7328537040641,0.981922712323329,0.4966567480912508,179.08280024532155,59.52300957538563
linear,264.2260887319471,152552.3479175219,390.57950268482074,0.9814655840589998,0.5014511722413492,183.21191410578973,58.54628426414749
lasso,311.99932963558695,171826.0256346771,414.51902927932883,0.9791239199391156,0.5895401160685807,185.76403344365568,66.70451950672503
rf,3382.0723193705876,20205269.888206515,4495.027239984927,-1.454848328592476,6.067159358154074,1072.0030101804525,606.694796790141
gbm,3463.685288756479,20960877.39446865,4578.305078789382,-1.5466512015104077,6.217760025120826,1098.2919230961386,579.1984008002044
xgb,3594.04572147651,21995262.517719653,4689.910715324936,-1.6723242860563245,6.460704849528981,870.6836889443277,614.7708830319468
lgb,3691.127953717433,22960365.20115308,4791.69752813688,-1.7895798694984202,6.639951721546702,1230.279900306657,696.2791607118975
